id,slug,name,imageUrl,sourceUrl,sourceRevision,creator,license,licenseUrl,attribution,kind,alt,sha256,bytes,width,height,status
catalog-owner-2026-001,san-jose,San José,/catalog/owner-2026/owner-2026-001.webp,"https://commons.wikimedia.org/wiki/File:Saint_Joseph_with_the_Infant_Jesus_by_Guido_Reni,_c_1635.jpg",1040619845,Guido Reni,Public domain,"https://commons.wikimedia.org/wiki/File:Saint_Joseph_with_the_Infant_Jesus_by_Guido_Reni,_c_1635.jpg#Licensing",Guido Reni; Wikimedia Commons; dominio público (reproducción de pintura antigua).,painting,"San José sosteniendo al Niño Jesús, pintura de Guido Reni.",036c2c11298f047dcc7f3b02787f40c33ee8fba86766999af5565425620c66c6,90460,986,1200,PASS_SOURCE_REVERIFIED_AND_REMOTE_ANONYMOUS_200_WEBP
catalog-owner-2026-002,san-pedro,San Pedro,/catalog/owner-2026/owner-2026-002.webp,https://commons.wikimedia.org/wiki/File:El_Greco_-_Saint_Peter_-_WGA10621.jpg,1225913046,El Greco,Public domain,https://commons.wikimedia.org/wiki/File:El_Greco_-_Saint_Peter_-_WGA10621.jpg#Licensing,El Greco; Wikimedia Commons; dominio público (reproducción de pintura antigua).,painting,"Representación pictórica de San Pedro, obra de El Greco.",fffcf22732eecb5e7a68921883fa6aa3c9b15cb0a192688b0bf6e82859fbc595,172562,602,1200,PASS_SOURCE_REVERIFIED_AND_REMOTE_ANONYMOUS_200_WEBP
catalog-owner-2026-003,san-pablo-de-tarso,San Pablo de Tarso,/catalog/owner-2026/owner-2026-003.webp,https://commons.wikimedia.org/wiki/File:El_Greco_-_St._Paul_-_Google_Art_Project.jpg,1225913354,El Greco,Public domain,https://commons.wikimedia.org/wiki/File:El_Greco_-_St._Paul_-_Google_Art_Project.jpg#Licensing,El Greco; Wikimedia Commons; dominio público (reproducción de pintura antigua).,painting,"Representación pictórica de San Pablo de Tarso, obra de El Greco.",1faa5b233b8af6df070c1f50358df7b8445fa620fe2bb0f5ed2aa913984d1ed5,89488,950,1200,PASS_SOURCE_REVERIFIED_AND_REMOTE_ANONYMOUS_200_WEBP
catalog-owner-2026-004,san-juan-evangelista,San Juan Evangelista,/catalog/owner-2026/owner-2026-004.webp,"https://commons.wikimedia.org/wiki/File:El_Greco_-_Saint_John_the_Evangelist,_Henke_Collection.jpg",1225912827,El Greco,Public domain,"https://commons.wikimedia.org/wiki/File:El_Greco_-_Saint_John_the_Evangelist,_Henke_Collection.jpg#Licensing",El Greco; Wikimedia Commons; dominio público (reproducción de pintura antigua).,painting,"Representación pictórica de San Juan Evangelista, obra de El Greco.",33d0e7fd36c1dc62006910b2620c46634ec84ba2801466068ef3c26d5a5d7fa2,215544,940,1200,PASS_SOURCE_REVERIFIED_AND_REMOTE_ANONYMOUS_200_WEBP
catalog-owner-2026-005,san-mateo,San Mateo,/catalog/owner-2026/owner-2026-005.webp,https://commons.wikimedia.org/wiki/File:El_Greco_-_St._Matthew_-_Google_Art_Project.jpg,1127604519,El Greco,Public domain,https://commons.wikimedia.org/wiki/File:El_Greco_-_St._Matthew_-_Google_Art_Project.jpg#Licensing,El Greco; Wikimedia Commons; dominio público (reproducción de pintura antigua).,painting,"Representación pictórica de San Mateo, obra de El Greco.",04292e5cfe53daa8204dd94d8537b3323b8209b4fc7e2405689c224fca0efa49,105116,957,1200,PASS_SOURCE_REVERIFIED_AND_REMOTE_ANONYMOUS_200_WEBP
catalog-owner-2026-006,san-marcos,San Marcos,/catalog/owner-2026/owner-2026-006.webp,"https://commons.wikimedia.org/wiki/File:Reni_-_Saint_Mark,_1621.jpg",1090893686,Guido Reni,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Guido Reni; Wikimedia Commons; CC BY-SA 4.0; archivo publicado por Maltaper; indicar cualquier adaptación.,painting,"Representación pictórica de San Marcos, obra de Guido Reni.",be6ee8948f3f60d43e2d2ee07d01d89c673a4bbb451650c4f72c5f8dd3e1d4fe,132028,960,1163,PASS_SOURCE_REVERIFIED_AND_REMOTE_ANONYMOUS_200_WEBP
catalog-owner-2026-007,san-lucas,San Lucas,/catalog/owner-2026/owner-2026-007.webp,https://commons.wikimedia.org/wiki/File:El_Greco_-_St_Luke_-_WGA10577.jpg,1035862382,El Greco,Public domain,https://commons.wikimedia.org/wiki/File:El_Greco_-_St_Luke_-_WGA10577.jpg#Licensing,El Greco; Wikimedia Commons; dominio público (reproducción de pintura antigua).,painting,"Representación pictórica de San Lucas, obra de El Greco.",c44e4e5c85743e36da212fed539ae909e747e951feec2545af69bda67cb759af,94388,900,1116,PASS_SOURCE_REVERIFIED_AND_REMOTE_ANONYMOUS_200_WEBP
catalog-owner-2026-008,san-juan-bautista,San Juan Bautista,/catalog/owner-2026/owner-2026-008.webp,https://commons.wikimedia.org/wiki/File:El_Greco_-_St._John_the_Baptist_-_WGA10548.jpg,1239902449,El Greco,Public domain,https://commons.wikimedia.org/wiki/File:El_Greco_-_St._John_the_Baptist_-_WGA10548.jpg#Licensing,El Greco; Wikimedia Commons; dominio público (reproducción de pintura antigua).,painting,"Representación pictórica de San Juan Bautista, obra de El Greco.",3a22fbbe712006f7b5eb52a24b2b5d7a62d049383bc432269ac430011cd90b3f,116292,717,1200,PASS_SOURCE_REVERIFIED_AND_REMOTE_ANONYMOUS_200_WEBP
catalog-owner-2026-009,santiago-el-mayor,Santiago el Mayor,/catalog/owner-2026/owner-2026-009.webp,"https://commons.wikimedia.org/wiki/File:El_Greco_-_St._James_the_Greater,_Henke_Collection.jpg",1111603010,El Greco,Public domain,"https://commons.wikimedia.org/wiki/File:El_Greco_-_St._James_the_Greater,_Henke_Collection.jpg#Licensing",El Greco; Wikimedia Commons; dominio público (reproducción de pintura antigua).,painting,"Representación pictórica de Santiago el Mayor, obra de El Greco.",743ad7c26fb037bc87717d582b4ea17a5229d4ab0f3b0bd3747ee11f257bc6cf,274874,957,1200,PASS_SOURCE_REVERIFIED_AND_REMOTE_ANONYMOUS_200_WEBP
catalog-owner-2026-010,santiago-el-menor,Santiago el Menor,/catalog/owner-2026/owner-2026-010.webp,https://commons.wikimedia.org/wiki/File:El_Greco_-_St._James_the_Less_-_Google_Art_Project.jpg,1225913281,El Greco,Public domain,https://commons.wikimedia.org/wiki/File:El_Greco_-_St._James_the_Less_-_Google_Art_Project.jpg#Licensing,El Greco; Wikimedia Commons; dominio público (reproducción de pintura antigua).,painting,"Representación pictórica de Santiago el Menor, obra de El Greco.",e8ae76ae5c43d808958c085b13ad99c55c796995422c0a7d591bb193d2fd87ad,207496,960,1191,PASS_SOURCE_REVERIFIED_AND_REMOTE_ANONYMOUS_200_WEBP
